
Intensity Center Ch=7 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
520,,Spot,7,Image 1,2,3503,
567,,Spot,7,Image 1,2,3510,
568,,Spot,7,Image 1,2,3512,
317,,Spot,7,Image 1,2,3517,
922,,Spot,7,Image 1,2,3518,
450,,Spot,7,Image 1,2,3521,
465,,Spot,7,Image 1,2,3525,
431,,Spot,7,Image 1,2,3527,
490,,Spot,7,Image 1,2,3532,
572,,Spot,7,Image 1,2,3536,
568,,Spot,7,Image 1,2,3539,
619,,Spot,7,Image 1,2,3563,
410,,Spot,7,Image 1,2,3577,
483,,Spot,7,Image 1,2,3588,
429,,Spot,7,Image 1,2,3590,
650,,Spot,7,Image 1,2,3591,
335,,Spot,7,Image 1,2,3605,
474,,Spot,7,Image 1,2,3608,
466,,Spot,7,Image 1,2,3611,
604,,Spot,7,Image 1,2,3612,
762,,Spot,7,Image 1,2,3615,
690,,Spot,7,Image 1,2,3618,
705,,Spot,7,Image 1,2,3619,
484,,Spot,7,Image 1,2,3620,
646,,Spot,7,Image 1,2,3622,
629,,Spot,7,Image 1,2,3633,
926,,Spot,7,Image 1,2,3635,
639,,Spot,7,Image 1,2,3636,
487,,Spot,7,Image 1,2,3637,
910,,Spot,7,Image 1,2,3675,
784,,Spot,7,Image 1,2,3679,
1198,,Spot,7,Image 1,2,3686,
974,,Spot,7,Image 1,2,3687,
478,,Spot,7,Image 1,2,3688,
526,,Spot,7,Image 1,2,3693,
518,,Spot,7,Image 1,2,3696,
887,,Spot,7,Image 1,2,3702,
844,,Spot,7,Image 1,2,3729,
1342,,Spot,7,Image 1,2,3732,
1204,,Spot,7,Image 1,2,3748,
777,,Spot,7,Image 1,2,3749,
1309,,Spot,7,Image 1,2,3758,
803,,Spot,7,Image 1,2,3760,
865,,Spot,7,Image 1,2,3763,
1028,,Spot,7,Image 1,2,3768,
1194,,Spot,7,Image 1,2,3771,
915,,Spot,7,Image 1,2,3776,
1000,,Spot,7,Image 1,2,3778,
1207,,Spot,7,Image 1,2,3783,
908,,Spot,7,Image 1,2,3787,
838,,Spot,7,Image 1,2,3802,
1122,,Spot,7,Image 1,2,3805,
1352,,Spot,7,Image 1,2,3809,
879,,Spot,7,Image 1,2,3812,
798,,Spot,7,Image 1,2,3813,
1071,,Spot,7,Image 1,2,3815,
696,,Spot,7,Image 1,2,3818,
1311,,Spot,7,Image 1,2,3822,
1058,,Spot,7,Image 1,2,3823,
1111,,Spot,7,Image 1,2,3825,
1158,,Spot,7,Image 1,2,3829,
1313,,Spot,7,Image 1,2,3837,
1289,,Spot,7,Image 1,2,3840,
1212,,Spot,7,Image 1,2,3841,
1078,,Spot,7,Image 1,2,3842,
978,,Spot,7,Image 1,2,3843,
260,,Spot,7,Image 1,2,3849,
1251,,Spot,7,Image 1,2,3854,
827,,Spot,7,Image 1,2,3855,
1299,,Spot,7,Image 1,2,3858,
1179,,Spot,7,Image 1,2,3859,
1255,,Spot,7,Image 1,2,3863,
1037,,Spot,7,Image 1,2,3867,
1249,,Spot,7,Image 1,2,3868,
1340,,Spot,7,Image 1,2,3869,
1005,,Spot,7,Image 1,2,3873,
821,,Spot,7,Image 1,2,3874,
1013,,Spot,7,Image 1,2,3876,
1113,,Spot,7,Image 1,2,3887,
1049,,Spot,7,Image 1,2,3900,
810,,Spot,7,Image 1,2,3904,
1158,,Spot,7,Image 1,2,3919,
582,,Spot,7,Image 1,2,3925,
436,,Spot,7,Image 1,2,3934,
991,,Spot,7,Image 1,2,3942,
921,,Spot,7,Image 1,2,3943,
1434,,Spot,7,Image 1,2,3948,
915,,Spot,7,Image 1,2,3955,
1110,,Spot,7,Image 1,2,3956,
1093,,Spot,7,Image 1,2,3957,
1161,,Spot,7,Image 1,2,3959,
1128,,Spot,7,Image 1,2,3961,
1058,,Spot,7,Image 1,2,3963,
556,,Spot,7,Image 1,2,3966,
868,,Spot,7,Image 1,2,3968,
812,,Spot,7,Image 1,2,3969,
1033,,Spot,7,Image 1,2,3975,
1105,,Spot,7,Image 1,2,3976,
1010,,Spot,7,Image 1,2,3979,
1171,,Spot,7,Image 1,2,3981,
855,,Spot,7,Image 1,2,3982,
798,,Spot,7,Image 1,2,3987,
713,,Spot,7,Image 1,2,3988,
679,,Spot,7,Image 1,2,3989,
1079,,Spot,7,Image 1,2,3999,
1402,,Spot,7,Image 1,2,4002,
1207,,Spot,7,Image 1,2,4008,
787,,Spot,7,Image 1,2,4011,
809,,Spot,7,Image 1,2,4014,
1139,,Spot,7,Image 1,2,4023,
726,,Spot,7,Image 1,2,4032,
1146,,Spot,7,Image 1,2,4033,
1304,,Spot,7,Image 1,2,4047,
1212,,Spot,7,Image 1,2,4048,
1160,,Spot,7,Image 1,2,4051,
1260,,Spot,7,Image 1,2,4052,
1162,,Spot,7,Image 1,2,4053,
1348,,Spot,7,Image 1,2,4056,
889,,Spot,7,Image 1,2,4058,
1211,,Spot,7,Image 1,2,4059,
901,,Spot,7,Image 1,2,4062,
1271,,Spot,7,Image 1,2,4064,
1218,,Spot,7,Image 1,2,4079,
808,,Spot,7,Image 1,2,4081,
1249,,Spot,7,Image 1,2,4082,
909,,Spot,7,Image 1,2,4083,
884,,Spot,7,Image 1,2,4085,
1167,,Spot,7,Image 1,2,4088,
1278,,Spot,7,Image 1,2,4090,
1338,,Spot,7,Image 1,2,4092,
1406,,Spot,7,Image 1,2,4103,
1319,,Spot,7,Image 1,2,4104,
1306,,Spot,7,Image 1,2,4107,
251,,Spot,7,Image 1,2,4109,
479,,Spot,7,Image 1,2,4121,
403,,Spot,7,Image 1,2,4122,
533,,Spot,7,Image 1,2,4125,
685,,Spot,7,Image 1,2,4129,
527,,Spot,7,Image 1,2,4138,
1246,,Spot,7,Image 1,2,4140,
425,,Spot,7,Image 1,2,4141,
628,,Spot,7,Image 1,2,4146,
440,,Spot,7,Image 1,2,4148,
1085,,Spot,7,Image 1,2,4150,
175,,Spot,7,Image 1,2,4151,
445,,Spot,7,Image 1,2,4152,
