
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
17272,,Spot,2,Image 1,2,3776,
14172,,Spot,2,Image 1,2,3778,
15925,,Spot,2,Image 1,2,3783,
17256,,Spot,2,Image 1,2,3787,
15895,,Spot,2,Image 1,2,3802,
13932,,Spot,2,Image 1,2,3805,
12957,,Spot,2,Image 1,2,3809,
12616,,Spot,2,Image 1,2,3812,
13185,,Spot,2,Image 1,2,3813,
13950,,Spot,2,Image 1,2,3815,
13031,,Spot,2,Image 1,2,3818,
17797,,Spot,2,Image 1,2,3822,
16054,,Spot,2,Image 1,2,3823,
16163,,Spot,2,Image 1,2,3825,
16888,,Spot,2,Image 1,2,3829,
15583,,Spot,2,Image 1,2,3837,
14253,,Spot,2,Image 1,2,3840,
14527,,Spot,2,Image 1,2,3841,
14692,,Spot,2,Image 1,2,3842,
13537,,Spot,2,Image 1,2,3843,
12557,,Spot,2,Image 1,2,3849,
14993,,Spot,2,Image 1,2,3854,
13383,,Spot,2,Image 1,2,3855,
13775,,Spot,2,Image 1,2,3858,
13495,,Spot,2,Image 1,2,3859,
13031,,Spot,2,Image 1,2,3863,
13373,,Spot,2,Image 1,2,3867,
13335,,Spot,2,Image 1,2,3868,
16549,,Spot,2,Image 1,2,3869,
16812,,Spot,2,Image 1,2,3873,
13543,,Spot,2,Image 1,2,3874,
14747,,Spot,2,Image 1,2,3876,
12036,,Spot,2,Image 1,2,3887,
12851,,Spot,2,Image 1,2,3900,
12987,,Spot,2,Image 1,2,3904,
13642,,Spot,2,Image 1,2,3919,
27982,,Spot,2,Image 1,2,3925,
21883,,Spot,2,Image 1,2,3934,
19935,,Spot,2,Image 1,2,3942,
17456,,Spot,2,Image 1,2,3943,
14860,,Spot,2,Image 1,2,3948,
16638,,Spot,2,Image 1,2,3955,
15103,,Spot,2,Image 1,2,3956,
15033,,Spot,2,Image 1,2,3957,
17525,,Spot,2,Image 1,2,3959,
16530,,Spot,2,Image 1,2,3961,
17030,,Spot,2,Image 1,2,3963,
14046,,Spot,2,Image 1,2,3966,
12999,,Spot,2,Image 1,2,3968,
14648,,Spot,2,Image 1,2,3969,
16232,,Spot,2,Image 1,2,3975,
22121,,Spot,2,Image 1,2,3976,
15677,,Spot,2,Image 1,2,3979,
14885,,Spot,2,Image 1,2,3981,
15970,,Spot,2,Image 1,2,3982,
17307,,Spot,2,Image 1,2,3987,
12561,,Spot,2,Image 1,2,3988,
12320,,Spot,2,Image 1,2,3989,
14330,,Spot,2,Image 1,2,3999,
13525,,Spot,2,Image 1,2,4002,
12826,,Spot,2,Image 1,2,4008,
13764,,Spot,2,Image 1,2,4011,
13936,,Spot,2,Image 1,2,4014,
13259,,Spot,2,Image 1,2,4023,
12436,,Spot,2,Image 1,2,4032,
16464,,Spot,2,Image 1,2,4033,
12741,,Spot,2,Image 1,2,4047,
13480,,Spot,2,Image 1,2,4048,
12713,,Spot,2,Image 1,2,4051,
12481,,Spot,2,Image 1,2,4052,
12439,,Spot,2,Image 1,2,4053,
12485,,Spot,2,Image 1,2,4056,
12851,,Spot,2,Image 1,2,4058,
12620,,Spot,2,Image 1,2,4059,
13535,,Spot,2,Image 1,2,4062,
12557,,Spot,2,Image 1,2,4064,
11776,,Spot,2,Image 1,2,4079,
13186,,Spot,2,Image 1,2,4081,
12603,,Spot,2,Image 1,2,4082,
12628,,Spot,2,Image 1,2,4083,
12430,,Spot,2,Image 1,2,4085,
11965,,Spot,2,Image 1,2,4088,
11676,,Spot,2,Image 1,2,4090,
13259,,Spot,2,Image 1,2,4092,
12282,,Spot,2,Image 1,2,4103,
12320,,Spot,2,Image 1,2,4104,
12537,,Spot,2,Image 1,2,4107,
12018,,Spot,2,Image 1,2,4109,
24301,,Spot,2,Image 1,2,4121,
19206,,Spot,2,Image 1,2,4122,
21948,,Spot,2,Image 1,2,4125,
23651,,Spot,2,Image 1,2,4129,
12643,,Spot,2,Image 1,2,4138,
14834,,Spot,2,Image 1,2,4140,
18830,,Spot,2,Image 1,2,4141,
14895,,Spot,2,Image 1,2,4146,
17093,,Spot,2,Image 1,2,4148,
13634,,Spot,2,Image 1,2,4150,
19393,,Spot,2,Image 1,2,4151,
19357,,Spot,2,Image 1,2,4152,
13930,,Spot,2,Image 1,2,4158,
18948,,Spot,2,Image 1,2,4160,
13212,,Spot,2,Image 1,2,4163,
12567,,Spot,2,Image 1,2,4165,
15333,,Spot,2,Image 1,2,4169,
14722,,Spot,2,Image 1,2,4177,
12199,,Spot,2,Image 1,2,4190,
13517,,Spot,2,Image 1,2,4192,
12110,,Spot,2,Image 1,2,4193,
13677,,Spot,2,Image 1,2,4197,
12725,,Spot,2,Image 1,2,4202,
12485,,Spot,2,Image 1,2,4206,
12159,,Spot,2,Image 1,2,4222,
14100,,Spot,2,Image 1,2,4238,
13184,,Spot,2,Image 1,2,4241,
13148,,Spot,2,Image 1,2,4244,
12550,,Spot,2,Image 1,2,4245,
12660,,Spot,2,Image 1,2,4250,
11490,,Spot,2,Image 1,2,4253,
17336,,Spot,2,Image 1,2,4265,
14084,,Spot,2,Image 1,2,4268,
14837,,Spot,2,Image 1,2,4272,
16322,,Spot,2,Image 1,2,4273,
16099,,Spot,2,Image 1,2,4274,
16791,,Spot,2,Image 1,2,4276,
12395,,Spot,2,Image 1,2,4282,
13497,,Spot,2,Image 1,2,4288,
13973,,Spot,2,Image 1,2,4290,
12835,,Spot,2,Image 1,2,4294,
12997,,Spot,2,Image 1,2,4297,
