
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
87.883,,Spot,4,Image 1,2,2937,
174.119,,Spot,4,Image 1,2,2938,
104.043,,Spot,4,Image 1,2,2939,
120.085,,Spot,4,Image 1,2,2971,
127.356,,Spot,4,Image 1,2,3016,
94.8648,,Spot,4,Image 1,2,3018,
116.471,,Spot,4,Image 1,2,3045,
112.161,,Spot,4,Image 1,2,3046,
75.9088,,Spot,4,Image 1,2,3056,
163.462,,Spot,4,Image 1,2,3065,
87.5772,,Spot,4,Image 1,2,3101,
78.7548,,Spot,4,Image 1,2,3127,
94.3259,,Spot,4,Image 1,2,3132,
88.2206,,Spot,4,Image 1,2,3135,
92.031,,Spot,4,Image 1,2,3140,
71.56,,Spot,4,Image 1,2,3144,
89.9722,,Spot,4,Image 1,2,3150,
112.693,,Spot,4,Image 1,2,3154,
45.2258,,Spot,4,Image 1,2,3160,
82.7442,,Spot,4,Image 1,2,3175,
96.4036,,Spot,4,Image 1,2,3176,
90.3549,,Spot,4,Image 1,2,3177,
50.7241,,Spot,4,Image 1,2,3184,
40.3887,,Spot,4,Image 1,2,3185,
88.4553,,Spot,4,Image 1,2,3187,
52.4422,,Spot,4,Image 1,2,3213,
79.0554,,Spot,4,Image 1,2,3220,
106.225,,Spot,4,Image 1,2,3235,
101.453,,Spot,4,Image 1,2,3242,
118.054,,Spot,4,Image 1,2,3243,
175.892,,Spot,4,Image 1,2,3244,
111.573,,Spot,4,Image 1,2,3245,
88.7858,,Spot,4,Image 1,2,3248,
189.353,,Spot,4,Image 1,2,3250,
201.639,,Spot,4,Image 1,2,3262,
101.232,,Spot,4,Image 1,2,3264,
119.656,,Spot,4,Image 1,2,3265,
223.163,,Spot,4,Image 1,2,3279,
71.7682,,Spot,4,Image 1,2,3280,
137.64,,Spot,4,Image 1,2,3295,
119.194,,Spot,4,Image 1,2,3329,
95.3343,,Spot,4,Image 1,2,3330,
81.1041,,Spot,4,Image 1,2,3334,
61.141,,Spot,4,Image 1,2,3339,
118.179,,Spot,4,Image 1,2,3340,
151.502,,Spot,4,Image 1,2,3350,
105.786,,Spot,4,Image 1,2,3358,
70.2004,,Spot,4,Image 1,2,3359,
98.7856,,Spot,4,Image 1,2,3376,
106.1,,Spot,4,Image 1,2,3402,
81.1036,,Spot,4,Image 1,2,3412,
105.069,,Spot,4,Image 1,2,3414,
100.46,,Spot,4,Image 1,2,3415,
135.18,,Spot,4,Image 1,2,3419,
61.3312,,Spot,4,Image 1,2,3420,
106.496,,Spot,4,Image 1,2,3425,
84.9385,,Spot,4,Image 1,2,3434,
114.156,,Spot,4,Image 1,2,3446,
116.517,,Spot,4,Image 1,2,3451,
163.899,,Spot,4,Image 1,2,3467,
92.934,,Spot,4,Image 1,2,3469,
99.5497,,Spot,4,Image 1,2,3470,
98.5924,,Spot,4,Image 1,2,3472,
134.186,,Spot,4,Image 1,2,3474,
133.797,,Spot,4,Image 1,2,3475,
110.799,,Spot,4,Image 1,2,3477,
85.2601,,Spot,4,Image 1,2,3479,
152.965,,Spot,4,Image 1,2,3480,
177.978,,Spot,4,Image 1,2,3481,
177.123,,Spot,4,Image 1,2,3483,
96.9882,,Spot,4,Image 1,2,3484,
134.83,,Spot,4,Image 1,2,3491,
95.7989,,Spot,4,Image 1,2,3492,
148.325,,Spot,4,Image 1,2,3497,
84.0379,,Spot,4,Image 1,2,3499,
108.902,,Spot,4,Image 1,2,3503,
140.511,,Spot,4,Image 1,2,3510,
175.815,,Spot,4,Image 1,2,3512,
73.2251,,Spot,4,Image 1,2,3517,
145.678,,Spot,4,Image 1,2,3518,
84.5351,,Spot,4,Image 1,2,3521,
97.5159,,Spot,4,Image 1,2,3525,
66.9234,,Spot,4,Image 1,2,3527,
114.111,,Spot,4,Image 1,2,3532,
121.621,,Spot,4,Image 1,2,3536,
