
Shortest Distance to Spots Spots=Spots 1
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
39.7005,µm,Spot,Spots 1,2,3815,
54.6272,µm,Spot,Spots 1,2,3818,
58.1484,µm,Spot,Spots 1,2,3822,
70.5665,µm,Spot,Spots 1,2,3823,
71.186,µm,Spot,Spots 1,2,3825,
22.2404,µm,Spot,Spots 1,2,3829,
40.7942,µm,Spot,Spots 1,2,3837,
56.0407,µm,Spot,Spots 1,2,3840,
10.3761,µm,Spot,Spots 1,2,3841,
15.243,µm,Spot,Spots 1,2,3842,
18.3338,µm,Spot,Spots 1,2,3843,
57.7116,µm,Spot,Spots 1,2,3849,
72.1389,µm,Spot,Spots 1,2,3854,
91.4357,µm,Spot,Spots 1,2,3855,
34.8471,µm,Spot,Spots 1,2,3858,
61.1166,µm,Spot,Spots 1,2,3859,
57.9055,µm,Spot,Spots 1,2,3863,
50.3534,µm,Spot,Spots 1,2,3867,
50.157,µm,Spot,Spots 1,2,3868,
54.4555,µm,Spot,Spots 1,2,3869,
114.493,µm,Spot,Spots 1,2,3873,
93.2722,µm,Spot,Spots 1,2,3874,
89.6701,µm,Spot,Spots 1,2,3876,
154.308,µm,Spot,Spots 1,2,3887,
120.735,µm,Spot,Spots 1,2,3900,
88.8141,µm,Spot,Spots 1,2,3904,
82.7709,µm,Spot,Spots 1,2,3919,
48.8426,µm,Spot,Spots 1,2,3925,
28.1638,µm,Spot,Spots 1,2,3934,
26.644,µm,Spot,Spots 1,2,3942,
21.5013,µm,Spot,Spots 1,2,3943,
20.672,µm,Spot,Spots 1,2,3948,
49.933,µm,Spot,Spots 1,2,3955,
33.9603,µm,Spot,Spots 1,2,3956,
34.1038,µm,Spot,Spots 1,2,3957,
39.8776,µm,Spot,Spots 1,2,3959,
36.4184,µm,Spot,Spots 1,2,3961,
53.5754,µm,Spot,Spots 1,2,3963,
20.085,µm,Spot,Spots 1,2,3966,
18.6615,µm,Spot,Spots 1,2,3968,
19.3947,µm,Spot,Spots 1,2,3969,
42.3174,µm,Spot,Spots 1,2,3975,
36.0944,µm,Spot,Spots 1,2,3976,
33.0974,µm,Spot,Spots 1,2,3979,
26.7622,µm,Spot,Spots 1,2,3981,
21.294,µm,Spot,Spots 1,2,3982,
30.6806,µm,Spot,Spots 1,2,3987,
12.6071,µm,Spot,Spots 1,2,3988,
20.9974,µm,Spot,Spots 1,2,3989,
29.1766,µm,Spot,Spots 1,2,3999,
41.7482,µm,Spot,Spots 1,2,4002,
11.2169,µm,Spot,Spots 1,2,4008,
26.904,µm,Spot,Spots 1,2,4011,
23.1801,µm,Spot,Spots 1,2,4014,
7.97476,µm,Spot,Spots 1,2,4023,
